id;lat;lon;cidade;uf
1;    -9.82;   -66.88;                         ACRELANDIA;    AC
2;   -10.94;   -69.56;                       ASSIS BRASIL;    AC
3;   -11.01;   -68.74;                          BRASILEIA;    AC
4;    -9.83;   -67.95;                             BUJARI;    AC
5;   -10.57;   -67.67;                           CAPIXABA;    AC
6;    -7.63;   -72.67;                    CRUZEIRO DO SUL;    AC
7;   -11.02;   -68.74;                     EPITACIOLANDIA;    AC
8;    -8.16;   -70.35;                              FEIJO;    AC
9;    -9.43;   -71.88;                             JORDAO;    AC
10;    -7.61;   -72.89;                        MANCIO LIMA;    AC
11;    -8.83;   -69.26;                      MANOEL URBANO;    AC
12;    -8.94;   -72.79;               MARECHAL THAUMATURGO;    AC
13;   -10.27;   -67.15;                  PLACIDO DE CASTRO;    AC
14;    -9.58;   -67.53;                         PORTO ACRE;    AC
15;    -8.26;   -72.74;                       PORTO WALTER;    AC
16;    -9.97;   -67.81;                         RIO BRANCO;    AC
17;    -7.74;   -72.64;                    RODRIGUES ALVES;    AC
18;    -9.43;   -70.49;                SANTA ROSA DO PURUS;    AC
19;    -9.06;   -68.65;                     SENA MADUREIRA;    AC
20;   -10.15;   -67.73;                   SENADOR GUIOMARD;    AC
21;    -8.16;   -70.76;                           TARAUACA;    AC
22;   -10.65;    -68.5;                             XAPURI;    AC
23;    -9.26;   -37.93;                        AGUA BRANCA;    AL
24;    -9.68;    -36.3;                             ANADIA;    AL
25;    -9.75;   -36.66;                          ARAPIRACA;    AL
26;     -9.5;   -36.02;                            ATALAIA;    AL
27;     -9.4;    -35.5;             BARRA DE SANTO ANTONIO;    AL
28;    -9.84;    -35.9;                BARRA DE SAO MIGUEL;    AL
29;    -9.67;   -37.12;                            BATALHA;    AL
30;    -9.57;   -36.49;                              BELEM;    AL
31;    -9.82;   -37.28;                         BELO MONTE;    AL
32;    -9.64;   -36.22;                       BOCA DA MATA;    AL
33;    -9.24;   -36.01;                         BRANQUINHA;    AL
34;     -9.4;   -36.99;                        CACIMBINHAS;    AL
35;    -9.39;   -36.15;                           CAJUEIRO;    AL
36;    -8.84;   -35.56;                          CAMPESTRE;    AL
37;    -9.78;   -36.35;                       CAMPO ALEGRE;    AL
38;    -9.95;   -36.79;                       CAMPO GRANDE;    AL
39;    -9.12;    -37.6;                             CANAPI;    AL
40;     -9.4;   -36.07;                             CAPELA;    AL
41;    -9.48;   -37.37;                          CARNEIROS;    AL
42;    -9.25;   -36.29;                          CHA PRETA;    AL
43;    -9.63;   -36.57;                      COITE DO NOIA;    AL
44;     -8.9;   -35.72;                 COLONIA LEOPOLDINA;    AL
45;    -9.63;    -35.8;                      COQUEIRO SECO;    AL
46;   -10.12;   -36.17;                           CORURIPE;    AL
47;    -9.61;   -36.76;                            CRAIBAS;    AL
48;    -9.38;   -37.99;                    DELMIRO GOUVEIA;    AL
49;    -9.39;    -37.1;                       DOIS RIACHOS;    AL
50;    -9.39;   -36.76;                 ESTRELA DE ALAGOAS;    AL
51;     -9.9;   -36.67;                       FEIRA GRANDE;    AL
52;   -10.29;    -36.3;                      FELIZ DESERTO;    AL
53;    -9.27;   -35.71;                          FLEXEIRAS;    AL
54;    -9.88;   -36.82;                  GIRAU DO PONCIANO;    AL
55;    -8.97;   -35.93;                         IBATEGUARA;    AL
56;    -9.53;   -36.63;                              IGACI;    AL
57;   -10.12;   -36.66;                        IGREJA NOVA;    AL
58;    -9.21;   -37.75;                             INHAPI;    AL
59;    -9.63;    -37.2;                  JACARE DOS HOMENS;    AL
60;    -8.84;   -35.46;                            JACUIPE;    AL
61;    -9.08;   -35.25;                        JAPARATINGA;    AL
62;    -9.65;-37;                         JARAMATAIA;    AL
63;    -9.13;   -35.74;                      JOAQUIM GOMES;    AL
64;    -8.93;   -35.57;                             JUNDIA;    AL
65;    -9.92;   -36.47;                          JUNQUEIRO;    AL
66;    -9.83;   -36.73;                     LAGOA DA CANOA;    AL
67;    -9.74;    -36.5;                 LIMOEIRO DE ANADIA;    AL
68;    -9.66;   -35.73;                             MACEIO;    AL
69;    -9.53;   -36.98;                      MAJOR ISIDORO;    AL
70;    -9.44;   -36.38;                       MAR VERMELHO;    AL
71;    -9.01;   -35.22;                           MARAGOGI;    AL
72;    -9.23;   -37.35;                          MARAVILHA;    AL
73;    -9.71;   -35.89;                   MARECHAL DEODORO;    AL
74;    -9.57;    -36.3;                          MARIBONDO;    AL
75;    -9.11;   -37.73;                        MATA GRANDE;    AL
76;    -9.15;   -35.53;               MATRIZ DE CAMARAGIBE;    AL
77;    -9.38;   -35.84;                            MESSIAS;    AL
78;     -9.3;   -36.86;                  MINADOR DO NEGRAO;    AL
79;     -9.6;   -37.24;                      MONTEIROPOLIS;    AL
80;     -9.3;   -35.94;                             MURICI;    AL
81;    -8.91;   -35.64;                          NOVO LINO;    AL
82;    -9.53;   -37.29;          'OLHO D''AGUA DAS FLORES';    AL
83;     -9.5;   -37.83;           'OLHO D''AGUA DO CASADO';    AL
84;   -10.05;   -36.81;              'OLHO D''AGUA GRANDE';    AL
85;    -9.51;   -37.19;                           OLIVENCA;    AL
86;    -9.16;   -37.35;                        OURO BRANCO;    AL
87;    -9.67;   -37.32;                          PALESTINA;    AL
88;     -9.4;   -36.62;                PALMEIRA DOS INDIOS;    AL
89;    -9.74;   -37.43;                      PAO DE ACUCAR;    AL
90;    -9.25;-38;                          PARICONHA;    AL
91;    -9.46;   -35.55;                         PARIPUEIRA;    AL
92;    -9.23;   -35.49;                PASSO DE CAMARAGIBE;    AL
93;    -9.36;   -36.37;                      PAULO JACINTO;    AL
94;   -10.29;   -36.58;                             PENEDO;    AL
95;    -10.4;   -36.43;                          PIACABUCU;    AL
96;    -9.59;   -35.95;                              PILAR;    AL
97;    -9.47;   -36.29;                            PINDOBA;    AL
98;    -9.62;   -37.75;                           PIRANHAS;    AL
99;    -9.31;   -37.28;               POCO DAS TRINCHEIRAS;    AL
100;    -9.04;   -35.39;                        PORTO CALVO;    AL
101;    -9.15;   -35.29;                    PORTO DE PEDRAS;    AL
102;   -10.18;   -36.84;              PORTO REAL DO COLEGIO;    AL
103;    -9.31;   -36.47;                        QUEBRANGULO;    AL
104;    -9.47;   -35.85;                          RIO LARGO;    AL
105;    -9.83;   -35.97;                            ROTEIRO;    AL
106;     -9.6;   -35.82;               SANTA LUZIA DO NORTE;    AL
107;    -9.37;   -37.24;                 SANTANA DO IPANEMA;    AL
108;    -9.16;   -36.22;                  SANTANA DO MUNDAU;    AL
109;   -10.12;    -36.9;                           SAO BRAS;    AL
110;    -9.01;   -36.05;                   SAO JOSE DA LAJE;    AL
111;    -9.55;   -37.38;                 SAO JOSE DA TAPERA;    AL
112;    -9.31;   -35.56;               SAO LUIS DO QUITUNDE;    AL
113;    -9.78;   -36.09;              SAO MIGUEL DOS CAMPOS;    AL
114;    -9.26;   -35.37;            SAO MIGUEL DOS MILAGRES;    AL
115;    -9.93;   -36.55;                      SAO SEBASTIAO;    AL
116;    -9.56;   -35.82;                             SATUBA;    AL
117;    -9.35;    -37.5;               SENADOR RUI PALMEIRA;    AL
118;    -9.53;   -36.43;                   'TANQUE D''ARCA';    AL
119;    -9.64;   -36.49;                          TAQUARANA;    AL
120;     -9.9;   -36.35;                    TEOTONIO VILELA;    AL
121;    -9.97;-37;                             TRAIPU;    AL
122;    -9.16;   -36.03;                 UNIAO DOS PALMARES;    AL
123;    -9.37;   -36.24;                             VICOSA;    AL
124;    -3.22;    -64.8;                           ALVARAES;    AM
125;    -3.36;   -68.19;                            AMATURA;    AM
126;    -3.58;    -61.4;                              ANAMA;    AM
127;    -3.77;   -61.64;                              ANORI;    AM
128;    -7.19;   -59.89;                               APUI;    AM
129;    -4.37;   -70.19;                   ATALAIA DO NORTE;    AM
130;    -3.58;   -59.13;                            AUTAZES;    AM
131;    -0.97;   -62.92;                           BARCELOS;    AM
132;    -2.79;   -57.07;                        BARREIRINHA;    AM
133;    -4.38;   -70.03;                  BENJAMIN CONSTANT;    AM
134;    -3.89;   -61.37;                             BERURI;    AM
135;    -2.97;   -57.59;                 BOA VISTA DO RAMOS;    AM
136;    -8.75;   -67.39;                       BOCA DO ACRE;    AM
137;    -4.38;   -59.59;                              BORBA;    AM
138;    -3.32;    -61.2;                         CAAPIRANGA;    AM
139;    -6.53;   -64.38;                           CANUTAMA;    AM
140;    -4.88;   -66.89;                           CARAUARI;    AM
141;    -3.76;   -60.36;                            CAREIRO;    AM
142;    -3.22;   -59.82;                  CAREIRO DA VARZEA;    AM
143;    -4.08;   -63.14;                              COARI;    AM
144;    -3.83;   -62.05;                            CODAJAS;    AM
145;    -6.66;   -69.87;                           EIRUNEPE;    AM
146;    -7.43;   -70.02;                             ENVIRA;    AM
147;    -2.51;   -66.09;                          FONTE BOA;    AM
148;    -7.54;   -72.58;                            GUAJARA;    AM
149;     -7.5;   -63.02;                            HUMAITA;    AM
150;    -7.05;   -71.69;                            IPIXUNA;    AM
151;    -3.28;   -60.18;                           IRANDUBA;    AM
152;    -3.14;   -58.44;                        ITACOATIARA;    AM
153;    -6.42;   -68.25;                          ITAMARATI;    AM
154;    -2.74;   -58.02;                         ITAPIRANGA;    AM
155;    -1.82;   -66.59;                             JAPURA;    AM
156;    -3.48;   -66.06;                              JURUA;    AM
157;    -2.74;   -66.76;                              JUTAI;    AM
158;    -7.25;   -64.79;                             LABREA;    AM
159;     -3.3;   -60.62;                         MANACAPURU;    AM
160;    -3.42;   -60.45;                          MANAQUIRI;    AM
161;     -3.1;   -60.02;                             MANAUS;    AM
162;     -5.8;    -61.3;                           MANICORE;    AM
163;    -1.85;   -65.58;                              MARAA;    AM
164;    -3.38;   -57.71;                              MAUES;    AM
165;    -2.18;   -56.71;                           NHAMUNDA;    AM
166;    -3.88;   -59.09;               NOVA OLINDA DO NORTE;    AM
167;    -2.62;   -60.94;                         NOVO AIRAO;    AM
168;    -5.12;   -60.38;                      NOVO ARIPUANA;    AM
169;    -2.62;   -56.73;                          PARINTINS;    AM
170;    -7.71;   -66.97;                             PAUINI;    AM
171;    -2.03;   -60.02;              PRESIDENTE FIGUEIREDO;    AM
172;    -2.69;    -59.7;                   RIO PRETO DA EVA;    AM
173;    -0.41;   -65.01;          SANTA ISABEL DO RIO NEGRO;    AM
174;     -3.1;   -67.94;               SANTO ANTONIO DO ICA;    AM
175;    -0.13;   -67.08;           SAO GABRIEL DA CACHOEIRA;    AM
176;    -3.37;   -68.87;              SAO PAULO DE OLIVENCA;    AM
177;    -2.57;   -57.87;            SAO SEBASTIAO DO UATUMA;    AM
178;    -2.83;    -58.2;                             SILVES;    AM
179;    -4.25;   -69.93;                          TABATINGA;    AM
180;    -5.62;   -63.18;                             TAPAUA;    AM
181;    -3.35;   -64.71;                               TEFE;    AM
182;    -2.87;    -67.8;                          TONANTINS;    AM
183;    -2.99;    -65.1;                             UARINI;    AM
184;    -2.53;   -57.76;                            URUCARA;    AM
185;    -3.13;   -58.15;                        URUCURITUBA;    AM
186;     2.05;   -50.79;                              AMAPA;    AP
187;     2.49;   -50.94;                           CALCOENE;    AP
188;     0.98;    -50.8;                             CUTIAS;    AP
189;     0.85;   -51.18;                     FERREIRA GOMES;    AP
190;     0.71;    -50.8;                            ITAUBAL;    AP
191;    -1.12;-52;                   LARANJAL DO JARI;    AP
192;     0.03;   -51.06;                             MACAPA;    AP
193;    -0.11;   -51.28;                            MAZAGAO;    AP
194;     3.84;   -51.83;                           OIAPOQUE;    AP
195;     0.77;   -51.94;            PEDRA BRANCA DO AMAPARI;    AP
196;     0.71;   -51.41;                       PORTO GRANDE;    AP
197;     1.74;   -50.79;                           PRACUUBA;    AP
198;    -0.05;   -51.18;                            SANTANA;    AP
199;     0.89;-52;                     SERRA DO NAVIO;    AP
200;      1.5;   -50.91;                    TARTARUGALZINHO;    AP
201;     -0.8;   -52.45;                    VITORIA DO JARI;    AP
202;   -13.25;   -41.66;                             ABAIRA;    BA
203;    -8.72;   -39.11;                              ABARE;    BA
204;   -11.66;   -38.01;                          ACAJUTIBA;    BA
205;   -10.53;    -38.1;                           ADUSTINA;    BA
206;   -11.86;   -38.76;                          AGUA FRIA;    BA
207;   -14.12;   -39.88;                            AIQUARA;    BA
208;   -12.13;   -38.41;                         ALAGOINHAS;    BA
209;   -17.51;   -39.19;                           ALCOBACA;    BA
210;    -14.7;   -39.63;                           ALMADINA;    BA
211;   -13.03;    -39.6;                           AMARGOSA;    BA
212;   -12.39;   -38.75;                   AMELIA RODRIGUES;    BA
213;   -11.45;   -41.43;                    AMERICA DOURADA;    BA
214;   -14.61;   -41.13;                              ANAGE;    BA
215;    -12.8;   -41.33;                            ANDARAI;    BA
216;   -10.34;   -39.83;                          ANDORINHA;    BA
217;-12;   -44.69;                            ANGICAL;    BA
218;   -12.15;   -39.24;                            ANGUERA;    BA
219;    -10.4;   -38.33;                              ANTAS;    BA
220;   -12.43;   -39.12;                    ANTONIO CARDOSO;    BA
221;   -10.57;   -40.27;                  ANTONIO GONCALVES;    BA
222;   -11.66;   -38.08;                              APORA;    BA
223;   -13.85;   -39.74;                           APUAREMA;    BA
224;   -12.22;    -38.2;                             ARACAS;    BA
225;   -14.42;   -41.46;                            ARACATU;    BA
226;   -11.33;   -38.96;                              ARACI;    BA
227;   -12.08;   -38.49;                            ARAMARI;    BA
228;   -15.26;   -39.41;                            ARATACA;    BA
229;   -13.07;-39;                           ARATUIPE;    BA
230;   -14.31;   -39.32;                      AURELINO LEAL;    BA
231;    -12.3;   -44.53;                        BAIANOPOLIS;    BA
232;   -11.96;   -40.16;                       BAIXA GRANDE;    BA
233;   -10.57;   -38.61;                             BANZAE;    BA
234;   -11.08;   -43.14;                              BARRA;    BA
235;   -13.62;   -41.32;                    BARRA DA ESTIVA;    BA
236;   -14.88;   -40.57;                     BARRA DO CHOCA;    BA
237;   -11.81;   -42.05;                    BARRA DO MENDES;    BA
238;   -14.21;    -39.6;                     BARRA DO ROCHA;    BA
239;   -12.15;   -44.99;                          BARREIRAS;    BA
240;   -11.76;   -41.91;                         BARRO ALTO;    BA
241;   -14.81;   -39.47;                        BARRO PRETO;    BA
242;   -15.86;   -38.88;                           BELMONTE;    BA
243;   -15.03;   -41.26;                         BELO CAMPO;    BA
244;   -11.61;    -38.8;                          BIRITINGA;    BA
245;   -14.36;    -40.2;                           BOA NOVA;    BA
246;   -12.66;    -40.6;                 BOA VISTA DO TUPIM;    BA
247;   -13.25;   -43.41;                  BOM JESUS DA LAPA;    BA
248;   -14.37;    -40.5;                 BOM JESUS DA SERRA;    BA
249;    -12.7;   -41.82;                            BONINAL;    BA
250;   -11.96;   -41.26;                             BONITO;    BA
251;   -12.82;   -42.73;                            BOQUIRA;    BA
252;   -13.38;   -42.52;                           BOTUPORA;    BA
253;    -13.1;   -39.79;                            BREJOES;    BA
254;   -12.48;   -43.96;                        BREJOLANDIA;    BA
255;   -11.99;   -42.62;                 BROTAS DE MACAUBAS;    BA
256;    -14.2;   -41.66;                            BRUMADO;    BA
257;   -14.95;    -39.3;                          BUERAREMA;    BA
258;    -10.7;   -43.63;                         BURITIRAMA;    BA
259;   -14.97;    -40.4;                            CAATIBA;    BA
260;   -12.53;   -39.19;            CABACEIRAS DO PARAGUACU;    BA
261;   -12.61;   -38.95;                          CACHOEIRA;    BA
262;    -14.5;   -42.22;                             CACULE;    BA
263;   -11.09;   -40.43;                               CAEM;    BA
264;   -14.33;   -40.91;                           CAETANOS;    BA
265;   -14.06;   -42.47;                            CAETITE;    BA
266;   -11.69;   -41.46;                          CAFARNAUM;    BA
267;   -13.48;   -39.04;                              CAIRU;    BA
268;   -11.02;    -40.3;                   CALDEIRAO GRANDE;    BA
269;   -15.41;   -39.49;                            CAMACAN;    BA
270;   -12.69;   -38.32;                           CAMACARI;    BA
271;   -13.94;    -39.1;                             CAMAMU;    BA
272;    -9.51;   -43.01;            CAMPO ALEGRE DE LOURDES;    BA
273;    -10.5;   -40.32;                      CAMPO FORMOSO;    BA
274;   -13.07;    -44.2;                          CANAPOLIS;    BA
275;   -11.68;   -41.76;                           CANARANA;    BA
276;   -15.67;   -38.94;                        CANAVIEIRAS;    BA
277;    -11.8;   -39.11;                            CANDEAL;    BA
278;   -12.66;   -38.55;                           CANDEIAS;    BA
279;   -14.41;   -42.86;                            CANDIBA;    BA
280;    -15.5;   -41.23;                      CANDIDO SALES;    BA
281;   -10.67;   -39.49;                          CANSANCAO;    BA
282;     -9.9;   -39.13;                            CANUDOS;    BA
283;   -11.66;   -39.83;              CAPELA DO ALTO ALEGRE;    BA
284;   -11.38;   -40.01;                       CAPIM GROSSO;    BA
285;    -14.6;   -41.33;                           CARAIBAS;    BA
286;   -17.73;   -39.26;                          CARAVELAS;    BA
287;   -11.94;   -37.94;                   CARDEAL DA SILVA;    BA
288;    -14.3;   -43.76;                         CARINHANHA;    BA
289;    -9.16;   -40.97;                          CASA NOVA;    BA
290;   -12.76;   -39.42;                       CASTRO ALVES;    BA
291;   -12.31;   -44.86;                         CATOLANDIA;    BA
292;   -12.35;   -38.37;                               CATU;    BA
293;   -13.32;   -42.29;                           CATURAMA;    BA
294;   -11.13;   -42.11;                            CENTRAL;    BA
295;    -8.98;   -39.09;                          CHORROCHO;    BA
296;    -10.6;   -38.38;                      CICERO DANTAS;    BA
297;    -11.1;   -38.51;                               CIPO;    BA
298;   -14.64;   -39.55;                            COARACI;    BA
299;   -14.18;   -44.53;                              COCOS;    BA
300;    -12.5;   -38.99;                 CONCEICAO DA FEIRA;    BA
301;    -12.8;   -39.16;               CONCEICAO DO ALMEIDA;    BA
302;   -11.56;   -39.28;                 CONCEICAO DO COITE;    BA
303;   -12.42;   -38.72;               CONCEICAO DO JACUIPE;    BA
304;   -11.81;   -37.61;                              CONDE;    BA
305;   -14.89;   -41.96;                           CONDEUBA;    BA
306;   -13.76;   -41.04;               CONTENDAS DO SINCORA;    BA
307;   -12.23;   -38.75;                   CORACAO DE MARIA;    BA
308;   -15.03;   -41.93;                          CORDEIROS;    BA
309;   -13.82;   -44.45;                             CORIBE;    BA
310;   -10.28;   -37.92;                    CORONEL JOAO SA;    BA
311;   -13.34;   -44.63;                         CORRENTINA;    BA
312;   -12.02;   -44.25;                           COTEGIPE;    BA
313;   -13.35;   -39.81;                        CRAVOLANDIA;    BA
314;   -11.51;   -38.15;                         CRISOPOLIS;    BA
315;   -12.23;   -44.42;                        CRISTOPOLIS;    BA
316;   -12.67;    -39.1;                     CRUZ DAS ALMAS;    BA
317;    -8.99;    -39.9;                             CURACA;    BA
318;   -14.43;    -39.9;                        DARIO MEIRA;    BA
319;   -12.61;   -38.29;                    'DIAS D''AVILA';    BA
320;   -13.76;   -41.77;                        DOM BASILIO;    BA
321;    -12.9;   -39.19;                   DOM MACEDO COSTA;    BA
322;   -12.94;   -39.52;                     ELISIO MEDRADO;    BA
323;   -15.53;    -40.9;                       ENCRUZILHADA;    BA
324;   -11.94;   -38.08;                         ENTRE RIOS;    BA
325;   -13.41;   -42.14;                      ERICO CARDOSO;    BA
326;   -11.79;   -37.94;                          ESPLANADA;    BA
327;    -10.5;   -39.01;                  EUCLIDES DA CUNHA;    BA
328;   -16.37;   -39.58;                          EUNAPOLIS;    BA
329;    -10.6;   -38.21;                             FATIMA;    BA
330;    -14.2;   -44.28;                      FEIRA DA MATA;    BA
331;   -12.26;   -38.96;                   FEIRA DE SANTANA;    BA
332;   -10.74;   -40.13;                         FILADELFIA;    BA
333;   -14.98;   -39.92;                      FIRMINO ALVES;    BA
334;   -14.86;   -39.66;                      FLORESTA AZUL;    BA
335;   -11.04;   -45.19;               FORMOSA DO RIO PRETO;    BA
336;   -13.74;   -39.48;                              GANDU;    BA
337;   -11.47;   -39.78;                             GAVIAO;    BA
338;   -11.42;    -42.5;                     GENTIO DO OURO;    BA
339;    -9.33;   -38.25;                             GLORIA;    BA
340;   -14.32;   -39.46;                            GONGOGI;    BA
341;    -12.6;   -39.04;              GOVERNADOR MANGABEIRA;    BA
342;   -14.54;   -41.94;                            GUAJERU;    BA
343;   -14.22;   -42.78;                           GUANAMBI;    BA
344;   -16.58;   -39.78;                         GUARATINGA;    BA
345;   -10.68;   -38.28;                         HELIOPOLIS;    BA
346;   -12.76;   -40.21;                               IACU;    BA
347;   -14.25;   -42.25;                          IBIASSUCE;    BA
348;   -14.86;   -39.58;                           IBICARAI;    BA
349;   -13.41;   -41.28;                           IBICOARA;    BA
350;   -14.84;   -39.98;                             IBICUI;    BA
351;   -11.64;   -42.01;                            IBIPEBA;    BA
352;   -12.88;   -42.48;                         IBIPITANGA;    BA
353;   -12.65;   -40.93;                           IBIQUERA;    BA
354;   -14.16;   -39.37;                       IBIRAPITANGA;    BA
355;   -17.68;    -40.1;                           IBIRAPUA;    BA
356;   -14.06;   -39.64;                          IBIRATAIA;    BA
357;   -12.65;   -42.21;                           IBITIARA;    BA
358;   -11.54;   -41.97;                            IBITITA;    BA
359;   -12.18;   -43.22;                          IBOTIRAMA;    BA
360;   -11.74;   -39.19;                               ICHU;    BA
361;   -13.77;   -42.71;                            IGAPORA;    BA
362;   -13.82;   -39.14;                          IGRAPIUNA;    BA
363;   -14.75;   -40.08;                              IGUAI;    BA
364;   -14.78;   -39.04;                             ILHEUS;    BA
365;   -11.78;   -38.35;                          INHAMBUPE;    BA
366;    -12.3;    -39.3;                           IPECAETA;    BA
367;   -14.13;   -39.73;                              IPIAU;    BA
368;   -12.15;   -39.73;                              IPIRA;    BA
369;   -11.82;   -42.61;                           IPUPIARA;    BA
370;   -13.25;   -40.08;                            IRAJUBA;    BA
371;   -13.28;   -40.95;                            IRAMAIA;    BA
372;   -12.24;   -41.61;                           IRAQUARA;    BA
373;   -12.05;   -38.76;                              IRARA;    BA
374;    -11.3;   -41.85;                              IRECE;    BA
375;   -16.57;   -39.55;                            ITABELA;    BA
376;   -12.52;    -40.3;                          ITABERABA;    BA
377;   -14.78;   -39.28;                            ITABUNA;    BA
378;   -14.27;   -38.99;                            ITACARE;    BA
379;   -12.98;   -40.97;                             ITAETE;    BA
380;   -14.16;-40;                              ITAGI;    BA
381;   -14.28;   -39.84;                            ITAGIBA;    BA
382;   -16.08;   -39.61;                         ITAGIMIRIM;    BA
383;   -11.01;   -42.39;                  ITAGUACU DA BAHIA;    BA
384;   -15.14;   -39.72;                   ITAJU DO COLONIA;    BA
385;   -14.67;   -39.37;                           ITAJUIPE;    BA
386;   -17.03;   -39.53;                          ITAMARAJU;    BA
387;   -13.77;   -39.68;                            ITAMARI;    BA
388;   -15.24;   -40.62;                             ITAMBE;    BA
389;   -12.26;   -38.04;                           ITANAGRA;    BA
390;   -17.16;   -40.33;                            ITANHEM;    BA
391;   -12.88;   -38.67;                          ITAPARICA;    BA
392;   -14.89;   -39.42;                              ITAPE;    BA
393;   -15.95;   -39.53;                            ITAPEBI;    BA
394;   -15.24;   -40.24;                         ITAPETINGA;    BA
395;   -11.31;   -38.23;                          ITAPICURU;    BA
396;   -14.42;   -39.56;                         ITAPITANGA;    BA
397;   -13.45;   -39.94;                           ITAQUARA;    BA
398;   -15.66;   -40.06;                          ITARANTIM;    BA
399;   -12.71;   -39.69;                             ITATIM;    BA
400;   -13.53;   -40.15;                            ITIRUCU;    BA
401;   -10.69;   -39.85;                             ITIUBA;    BA
402;   -15.11;   -40.07;                            ITORORO;    BA
403;   -13.81;   -41.29;                             ITUACU;    BA
404;   -13.73;   -39.14;                            ITUBERA;    BA
405;   -14.41;   -43.55;                               IUIU;    BA
406;   -13.61;   -44.43;                          JABORANDI;    BA
407;   -14.85;   -42.43;                           JACARACI;    BA
408;   -11.18;   -40.51;                           JACOBINA;    BA
409;   -13.53;   -39.97;                         JAGUAQUARA;    BA
410;   -10.26;   -40.19;                          JAGUARARI;    BA
411;   -13.11;   -38.89;                          JAGUARIPE;    BA
412;   -11.56;   -37.78;                           JANDAIRA;    BA
413;   -13.85;   -40.08;                             JEQUIE;    BA
414;   -10.06;   -38.35;                          JEREMOABO;    BA
415;   -13.25;   -39.57;                          JIQUIRICA;    BA
416;   -14.01;   -39.88;                            JITAUNA;    BA
417;   -11.35;   -41.66;                       JOAO DOURADO;    BA
418;    -9.41;    -40.5;                           JUAZEIRO;    BA
419;   -16.84;   -40.15;                           JUCURUCU;    BA
420;   -11.04;   -41.96;                            JUSSARA;    BA
421;   -15.19;   -39.49;                            JUSSARI;    BA
422;   -13.51;   -41.59;                           JUSSIAPE;    BA
423;   -13.65;   -40.21;                  LAFAIETE COUTINHO;    BA
424;   -14.03;   -42.14;                         LAGOA REAL;    BA
425;   -13.18;   -39.42;                               LAJE;    BA
426;   -17.61;   -40.34;                            LAJEDAO;    BA
427;   -12.35;    -40.9;                          LAJEDINHO;    BA
428;   -13.47;   -40.22;                  LAJEDO DO TABOCAL;    BA
429;   -11.78;    -38.9;                            LAMARAO;    BA
430;   -11.38;   -41.83;                              LAPAO;    BA
431;   -12.89;   -38.32;                   LAURO DE FREITAS;    BA
432;   -12.56;   -41.39;                            LENCOIS;    BA
433;   -14.68;    -42.5;                 LICINIO DE ALMEIDA;    BA
434;   -13.64;   -41.84;              LIVRAMENTO DO BRUMADO;    BA
435;   -12.13;   -40.36;                           MACAJUBA;    BA
436;   -15.56;   -40.42;                           MACARANI;    BA
437;   -13.01;   -42.69;                           MACAUBAS;    BA
438;    -9.16;   -39.05;                           MACURURE;    BA
439;   -12.74;   -38.62;                      MADRE DE DEUS;    BA
440;   -14.66;   -41.49;                           MAETINGA;    BA
441;   -15.62;   -40.26;                        MAIQUINIQUE;    BA
442;   -11.71;   -40.14;                              MAIRI;    BA
443;   -14.33;   -43.77;                            MALHADA;    BA
444;   -14.38;   -41.87;                  MALHADA DE PEDRAS;    BA
445;   -14.14;   -40.24;                    MANOEL VITORINO;    BA
446;   -10.71;   -44.03;                           MANSIDAO;    BA
447;   -13.44;   -40.43;                            MARACAS;    BA
448;   -12.77;   -38.91;                         MARAGOGIPE;    BA
449;    -14.1;   -39.01;                              MARAU;    BA
450;-13;   -40.53;                  MARCIONILIO SOUZA;    BA
451;   -15.56;    -39.3;                            MASCOTE;    BA
452;   -12.53;   -38.29;                   MATA DE SAO JOAO;    BA
453;    -13.9;   -42.84;                             MATINA;    BA
454;   -17.37;   -40.22;                      MEDEIROS NETO;    BA
455;   -11.42;   -40.59;                      MIGUEL CALMON;    BA
456;   -12.87;   -39.85;                           MILAGRES;    BA
457;   -10.95;   -40.57;                          MIRANGABA;    BA
458;   -14.24;   -40.77;                            MIRANTE;    BA
459;   -10.43;   -39.33;                        MONTE SANTO;    BA
460;   -11.55;   -43.28;                            MORPARA;    BA
461;   -11.55;   -41.15;                    MORRO DO CHAPEU;    BA
462;   -15.02;   -42.36;                          MORTUGABA;    BA
463;-13;   -41.37;                             MUCUGE;    BA
464;   -18.08;   -39.55;                             MUCURI;    BA
465;   -11.96;   -41.63;                   MULUNGU DO MORRO;    BA
466;   -11.85;   -40.47;                         MUNDO NOVO;    BA
467;-13;   -39.11;                     MUNIZ FERREIRA;    BA
468;   -12.06;   -43.54;            MUQUEM DE SAO FRANCISCO;    BA
469;   -12.62;   -38.99;                           MURITIBA;    BA
470;   -13.22;    -39.5;                            MUTUIPE;    BA
471;   -13.03;   -39.01;                             NAZARE;    BA
472;   -13.59;    -39.1;                       NILO PECANHA;    BA
473;   -10.82;   -39.42;                         NORDESTINA;    BA
474;   -14.79;   -40.14;                         NOVA CANAA;    BA
475;    -11.6;   -39.63;                        NOVA FATIMA;    BA
476;   -13.81;   -39.62;                          NOVA IBIA;    BA
477;   -13.02;   -40.06;                       NOVA ITARANA;    BA
478;   -12.81;   -41.07;                      NOVA REDENCAO;    BA
479;   -11.23;   -38.48;                         NOVA SOURE;    BA
480;   -17.89;   -39.37;                        NOVA VICOSA;    BA
